Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry_CSV,Sector_CSV,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Full_Company_Name,ISIN_Code,Registered_Office,Telephone,Email,Taxpayer_Number,Website,Main_Business_Fields,Sector_JSON,Subsector,Industry_JSON,Sub_Industry,Securities_Administration_Bureau,Recording_Date,Recording_Board,Data_Merge_Success,Data_Source,Fax
RSCH,PT Charlie Hospital Semarang Tbk,1.02T,384.00,"5,672,000",Medical Care Facilities,Healthcare,58.84B,23.25%,-18.17B,-101.68B,PT Charlie Hospital Semarang Tbk.,RSCH,"Jl. Raya Ngabean Kav 1A, Kel. Ngabean, Kec. Boja Kab. Kendal, Jawa Tengah 51381",(024) 86005000,corsec@charliehospital.co.id,90.479.541.6-513.000,https://charliehospital.co.id/,Bergerak di bidang Aktivitas Rumah Sakit Swasta PT CHARLIE HOSPITAL SEMARANG Tbk JASA KESEHATAN RUMAH SAKIT 154.432.112.376 100 %,Kesehatan PT CHARLIE HOSPITAL SEMARANG Tbk JASA KESEHATAN RUMAH SAKIT 155.386.731.125 100 %,Jasa & Peralatan Kesehatan PT CHARLIE HOSPITAL SEMARANG Tbk JASA KESEHATAN RUMAH SAKIT 155.386.731.125 100 %,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,PT. Adimitra Jasa Korpora,2023-08-28 Nama Jenis Aset Total Persentase PT CHARLIE HOSPITAL SEMARANG Tbk JASA KESEHATAN RUMAH SAKIT 154.288.377.616 0 %,Pengembangan PT CHARLIE HOSPITAL SEMARANG Tbk JASA KESEHATAN RUMAH SAKIT 154.432.112.376 100 %,True,CSV+JSON,
ARTA,PT Arthavest Tbk,1.44T,"3,110.00","3,5",Lodging,Consumer Discretionary,92.64B,3.10%,4.77B,9.82B,Arthavest Tbk,ARTA,Sahid Sudirman Center Lt.55 Jl.Jend.Sudirman no.86 Jakarta 10220,021-31116101,corpsec@arthavest.com,01.356.069.3-054.000,www.arthavest.com,Perusahaan Investasi PT.SENTRAL PEMBAYARAN INDONESIA JASA TEKNOLOGI INFORMASI DAN SISTIM PEMBAYARAN DAN PERDAGANGAN 104.473.432 52 %,Barang Konsumen Non-Primer PT.SENTRAL PEMBAYARAN INDONESIA JASA TEKNOLOGI INFORMASI DAN SISTIM PEMBAYARAN DAN PERDAGANGAN 134.350.135 52 %,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",PT. Adimitra Jasa Korpora,2002-11-05 Nama Jenis Aset Total Persentase PT.SANGGRAHA DHIKA PERHOTELAN 238.053.025.502 51 %,Pengembangan PT.SANGGRAHA DHIKA PERHOTELAN 248.285.302.668 51 %,True,CSV+JSON,021-3453075
DSSA,PT Dian Swastatika Sentosa Tbk,569.41T,"88,200.0","1,749,500",Thermal Coal,Energy,45.78T,-15.75%,3.51T,794.99B,Dian Swastatika Sentosa Tbk,DSSA,"Gedung Sinar Mas Land Plaza, Menara 2, Lantai 24, Jl. M.H. Thamrin No. 51, Gondangdia, Menteng, Kota Adm. Jakarta Pusat, DKI Jakarta,10350",021-31990258,corsec@dss.co.id,01.785.257.5-054.000,www.dssa.co.id,"Energi & Infrastruktur Celesta Prime Technology Pte. Ltd. Penyertaan Saham 2.304.153 99,99 %","Energi Dalligent Solutions Pte. Ltd. Penyertaan Saham 8.856.925 56,71 %","Minyak, Gas & Batu Bara GEMS Trading Resources Pte. Ltd Perdagangan Besar 9.751.644 51 %","Batu Bara Golden Multimedia Holdings Pte. Ltd. Penyertaan Saham 28.258.823 99,99 %","Produksi Batu Bara Golden Prime Power Pte. Ltd. Penyertaan Saham 124.294 99,99 %","- Hillmas Coal Pte. Ltd. Penyertaan Saham 7.534.440 99,99 %","2009-12-10 Nama Jenis Aset Total Persentase Alpha Prime Services Pte. Ltd. Penyertaan Saham 99.008 99,99 %","Utama Beijing Shuzhifang Technology Co Ltd Peneliti ilmiah dan jasa teknologi 974.561 56,71 %",True,CSV+JSON,021-31990259
INRU,PT Toba Pulp Lestari Tbk,993.05B,715.00,"9,4",Paper & Paper Products,Materials,1.55T,-13.76%,-524.53B,-19.13B,Toba Pulp Lestari Tbk,INRU,"Uniplaza, East Tower, Lantai 3 Jalan Letjend. Haryono MT No. A-1 Medan 20231 Sumut - Indonesia",+62 61 453 2088,investor_relation@tobapulp.com,01.219.795.0-054.000,www.tobapulp.com,Pulp and Paper,Barang Baku,Barang Baku,Perhutanan & Kertas,Kertas,PT. Raya Saham Registra,1990-06-18 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,+62 61 453 0967
AKRA,PT AKR Corporindo Tbk,25.15T,"1,235.00","36,271,600",Oil & Gas Refining & Marketing,Energy,42.51T,4.40%,2.41T,2.79T,PT AKR Corporindo Tbk.,AKRA,"AKR Tower Lt.26, Jl. Panjang No.5 Kebon Jeruk, Jakarta Barat 11530",(021) 531 1110,corporate.secretary@akr.co.id,01.132.905.9-092.000,www.akr.co.id,"Perdagangan dan Distribusi BBM dan Bahan Kimia Dasar PT AKR SEA TRANSPORT PELAYARAN DOMESTIK 867.263 99,99 %","Energi PT AKR TRANSPORTASI INDONESIA JASA LOGISTIK 255.182 99,90 %","Minyak, Gas & Batu Bara PT ANDAHANESA ABADI DAN ENTITAS ANAK JASA LOGISTIK 612.297 99,99 %","Minyak & Gas PT ANUGERAH KRIDA RETAILINDO DAN ENTITAS ANAK PERDAGANGAN, PERUSAHAAN HOLDING 2.107.729 99,99 %","Penyimpanan & Distribusi Minyak & Gas PT ANUGRAH KARYA RAYA PERDAGANGAN DAN PERTAMBANGAN BATUBARA 756 99,99 %","- PT ARJUNA UTAMA KIMIA PABRIKAN BAHAN PEREKAT 377.797 99,96 %",1994-10-03 Nama Jenis Aset Total Persentase CHEMICAL PETROLEUM INTERNATIONAL TRADING PTE LTD PERDAGANGAN 84.000 100 %,"Utama PT AKR NIAGA INDONESIA PERDAGANGAN KIMIA DASAR 79.595 99,99 %",True,CSV+JSON,(021) 531 1185
PGEO,PT Pertamina Geothermal Energy Tbk,53.10T,"1,270.00","32,903,900",Utilities - Renewable,Utilities,7.01T,3.92%,2.18T,2.67T,PT Pertamina Geothermal Energy Tbk,PGEO,"Grha Pertamina - Tower Pertamax Lt.7 Jl. Medan Merdeka Timur No. 11-13 Gambir, Jakarta Pusat 10110",+62 21 3983 3222,datapge@pertamina.com,01.061.266.1-081.000,https://www.pge.pertamina.com,Menyelenggarakan usaha bidang panas bumi dari hulu/hilir,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik,PT. Datindo Entrycom,2023-02-24 Nama Jenis Aset Total Persentase PT Geothermal Energi Seulawah Usaha Panas Bumi 29 75 %,Utama PT Pertamina Geothermal Energy Kotamobagu Usaha Panas Bumi 12 99 %,True,CSV+JSON,+62 21 3983 3230
PNLF,PT Panin Financial Tbk,7.62T,238.00,"30,811,000",Banks - Regional,Financials,10.70T,8.95%,1.68T,749.01B,Panin Financial Tbk,PNLF,"Gedung Panin Bank Pusat Lantai 8. Jl. Jend. Sudirman Kav.1, Jakarta 10270",021-5711523,ptpaninfinancial@gmail.co.id,0013.1368.1705.4000,www.paninfinancial.co.id/,Jasa Asuransi,Keuangan,Asuransi,Asuransi,Asuransi Jiwa,PT. Sinartama Gunita,"1983-06-14 Nama Jenis Aset Total Persentase PT Panin Internasional (d/h PT Panin Financial Assurance) Konsultasi Manajemen Bisnis di Bidang Kearsipan 3.911.252 63,16 %",Utama,True,CSV+JSON,-
BNBA,PT Bank Bumi Arta Tbk,2.08T,615.00,"117,2",Banks - Regional,Financials,313.05B,-16.59%,19.39B,-276.83B,Bank Bumi Arta Tbk,BNBA,Jl. Wahid Hasyim No. 234-236 Jakarta 10250,2300-455,lyvinia_sari@bankbba.co.id,01.308.466.0-054.000,www.bankbba.co.id,Perbankan,Keuangan,Bank,Bank,Bank,PT. Adimitra Jasa Korpora,2006-06-01 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,310-2632
BANK,PT Bank Aladin Syariah Tbk,11.76T,845.00,"5,196,200",Banks - Regional,Financials,740.75B,98.93%,133.43B,505.72B,PT Bank Aladin Syariah Tbk,BANK,"Gedung Millennium Centennial Center Lt 7 Jl. Jenderal Sudirman Kav. 25 Jakarta Selatan, 12920",+62 21 85500947,corsec@aladinbank.id,0016 5774 3905 8000,www.aladinbank.id,Perbankan,Keuangan,Bank,Bank,Bank,PT. Sharestar Indonesia,2021-02-01 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,-
PNGO,PT PINAGO UTAMA Tbk,2.38T,"3,050.00","53,2",Farm Products,Consumer Staples,2.32T,24.45%,294.67B,264.25B,PT Pinago Utama Tbk,PNGO,"Rukan Exclusive Bukit Golf Mediterania Blok I No. 9. RT. 004, RW.003 Pantai Indah Kapuk. Kel. Kamal Muara, Kec. Penjaringan Jakarta Utara 14470","(021) 55966133, 55965869, 55965870",corporate.secretary@pinagoutama.com,01.117.225.1-046.000,www.pinagoutama.com,perkebunan kelapa sawit dan karet beserta industri penunjangnya PT Sriwijaya Nusantara Sejahtera Perkebunan 349.395.406.842 99 %,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,PT. Adimitra Jasa Korpora,2020-08-31 Nama Jenis Aset Total Persentase PT Hamparan Mutiara Hijau Perkebunan 79.019.441.829 99 %,Utama PT Musi Andalan Sumatera Perkebunan 170.795.485.452 99 %,True,CSV+JSON,(021) 55965977
ASII,PT Astra International Tbk,255.05T,"6,250.00","43,439,100",Conglomerates,Industrials,328.20T,1.93%,32.67T,27.24T,Astra International Tbk,ASII,"Menara Astra Lt 58-63, Jl. Jendral Sudirman Kav 5-6, Jakarta, 10220",(021) 508 43 888,corporate.secretary@ai.astra.co.id,01.302.584.6-092.000,www.astra.co.id,Perdagangan Umum PT Astra Auto Trust OTOMOTIF 281 100 %,Perindustrian PT Astra Autoprima OTOMOTIF 74 100 %,Perusahaan Holding Multi Sektor PT Astra Digital Internasional OTOMOTIF 5.845 100 %,"Perusahaan Holding Multi-sektor PT Astra Graphia Tbk TEKNOLOGI INFORMASI 2.948 76,87 %",Perusahaan Holding Multi-sektor PT Astra Healthcare Indonesia OTOMOTIF 1.149 100 %,"PT. Raya Saham Registra PT Astra Mitra Ventura JASA KEUANGAN 177 99,85 %",1990-04-04 Nama Jenis Aset Total Persentase PT Arya Kharisma OTOMOTIF 2.074 100 %,"Utama PT Astra Agro Lestari Tbk AGRIBISNIS 28.793 79,68 %",True,CSV+JSON,(021) 6530-4957
BSSR,PT Baramulti Suksessarana Tbk,10.91T,"4,170.00","3,035,800",Thermal Coal,Energy,12.43T,-25.27%,1.37T,1.50T,Baramulti Suksessarana Tbk,BSSR,"Grha Baramulti Lantai 3, Jl. Suryopranoto No. 2, KOmplek Harmoni Plaza Blok A-8, Petojo Selatan, Gambir, Jakarta Pusat 10130",(021)63853228 / (021)63851334,corsec@bssr.co.id,01.539.698.9-054.000,www.bssr.co.id,"pertambangan batu bara PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 276.176.037 99,99 %","Energi PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 276.176.037 99,99 %","Minyak, Gas & Batu Bara PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 314.559.478 99,99 %","Batu Bara PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 314.559.478 99,99 %","Produksi Batu Bara PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 313.023.014 99,99 %","PT. Datindo Entrycom PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 313.023.014 99,99 %","2012-11-08 Nama Jenis Aset Total Persentase PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 322.427.102 99,99 %","Pengembangan PT Antang Gunung Meratus Perdagangan, Industri umum dan Pertambangan 276.589.682 99,99 %",True,CSV+JSON,(021)63851334
WINS,PT Wintermar Offshore Marine Tbk,1.93T,440.00,"1,922,600",Marine Shipping,Industrials,1.32T,-4.27%,200.81B,-173.49B,Wintermar Offshore Marine Tbk,WINS,Jl. Kebayoran Lama No. 155 Jakarta 11560,"5305201, 5305202",investor_relations@wintermar.com,01.071.346.9-035.000,www.wintermar.com,"Bidang pelayaran dengan fokus pada kapal penunjang kegiatan angkutan lepas pantai bagi industri minyak dan gas bumi PT Arial Niaga Nusantara Pelayaran 1.363.852 99,51 %",Energi PT Azureus Simulator Asia Pelatihan 41.409 100 %,"Minyak, Gas & Batu Bara PT Fast Offshore Indonesia Pelayaran 16.465.175 51 %","Pendukung Minyak, Gas & Batu Bara PT Hammar Marine Offshore Pelayaran 1.541.735 100 %","Jasa & Perlengkapan Minyak, Gas & Batu Bara PT Marine Solusindo Teknik Reparasi Kapal 234.481 100 %",PT. Datindo Entrycom PT Nusa Maritim Jaya Pelayaran 569.249 100 %,2010-11-29 Nama Jenis Aset Total Persentase Nila Utama Pte Ltd Pelayaran 106.111 100 %,"Utama PT Alto Nautika Teknologi Platform Digital 156.466 99,85 %",True,CSV+JSON,5305203
MEDC,PT Medco Energi Internasional Tbk,33.08T,"1,340.00","34,003,500",Oil & Gas Exploration & Production,Energy,39.40T,1.97%,3.00T,8.34T,PT Medco Energi Internasional Tbk,MEDC,"Gedung The Energy, Lantai 52 SCBD Lot, 11A, Jl. Jend. Sudirman Kav. 52-53, Senayan, Kebayoran Baru, Jakarta Selatan",(021) 2995-3000,corporate.secretary@medcoenergi.com,01.002.095.6-081.000,www.medcoenergi.com,Crude Petroleum and Natural Gas Prod.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,-,1994-10-12 Nama Jenis Aset Total Persentase,Utama,True,CSV+JSON,(021) 2995-3001
STRK,PT Lovina Beach Brewery Tbk,1.76T,170.00,"21,252,400",Beverages - Brewers,Consumer Staples,12.93B,-50.24%,-20.39B,-13.80B,PT Lovina Beach Brewery Tbk.,STRK,"Jl. Tukad Banyu Poh 110X, Sesetan Denpasar Selatan, 80223",(0361) - 255 600,corsec@starkcraftbeer.com,313955528903000,https://lovinabeachbrewery.com/,bidang Industri Distribusi Minuman Beralkohol dan Pengolahannya melalui Anak perusahaan,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Keras,PT. Bima Registra,"2023-10-10 Nama Jenis Aset Total Persentase PT Lovina Industri Sukses Industri pengolahan 70.710.871.050 99,99 %",Pengembangan,True,CSV+JSON,(0362) - 255 599
PTPP,PT PP (Persero) Tbk,2.34T,378.00,"3,403,000",Engineering & Construction,Industrials,16.54T,-18.27%,153.92B,333.20B,PP (Persero) Tbk,PTPP,Plaza PP Jl. Letjend. TB Simatupang No.57 Pasar Rebo - Jakarta 13760,021-8403883,corsec@ptpp.co.id,01.001.613.7-093.000,www.ptpp.co.id,Jasa Konstruksi,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,-,2010-02-09 Nama Jenis Aset Total Persentase,Utama,True,CSV+JSON,021-8403890
PPRE,PT PP Presisi Tbk,1.22T,117.00,"26,603,800",Engineering & Construction,Industrials,3.84T,8.35%,187.63B,571.74B,PT PP Presisi Tbk.,PPRE,"Plaza PP Jl. TB Simatupang No.57 Pasar Rebo, Jakarta 13760",0218414119,headoffice@pp-presisi.co.id,02.378.927.4-007.000,www.pp-presisi.co.id,"Konstruksi, Engineering Procurement & Construction (EPC), pekerjaan mekanikal-elektrical, jasa transportasi/angkutan, jasa penyewaan, perdagangan, pertambangan.",Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,-,2017-11-24 Nama Jenis Aset Total Persentase PT Lancarjaya Mandiri Abadi Jasa Konstruksi 2.934.234.589.980 51 %,Pengembangan,True,CSV+JSON,0218230353
HATM,PT Habco Trans Maritima Tbk,2.43T,280.00,"31,454,900",Marine Shipping,Industrials,966.02B,29.26%,138.36B,-606.91B,PT Habco Trans Maritima Tbk,HATM,"Jalan H. Imam Munandar No. 247 F-G, Kel Tangkerang Utara, Kec Bukit Raya, Pekanbaru, Riau 28282",0761 32236,corsec@habcomaritima.com,925393241216000,www.habcomaritima.com,Bergerak Dalam Bidang Pengangkutan dengan Kegiatan Usaha Angkutan Laut Dalam Negeri untuk Barang Khusus,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,PT. Bima Registra,2022-07-26 Nama Jenis Aset Total Persentase,Utama,True,CSV+JSON,0761 20226
DUTI,PT Duta Pertiwi Tbk,7.97T,"4,280.00","1,5",Real Estate - Development,Real Estate,2.92T,-29.79%,340.53B,-119.05B,Duta Pertiwi Tbk,DUTI,"Sinar Mas Land Plaza Wing 3B, BSD Green Office Park, Jl. Grand Boulevard, BSD City Tangerang 15345",021 - 50368368,corporate.secretary@sinarmasland.com,01.314.094.2-092.000,www.sinarmasland.com,Property dan Real Estate,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT. Sinartama Gunita,1994-11-02 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,021 - 50588270
SURE,PT Super Energy Tbk,3.98T,"2,660.00",1,Oil & Gas Integrated,Energy,437.11B,29.29%,-112.03B,-234.02B,PT Super Energy Tbk.,SURE,Gedung Equity Tower Lt. 29 Unit E SCBD Lot 9 Jln. Jend. Sudirman Kav. 52-53 Kebayoran Baru Jakarta Selatan 12190,021 29035295,secretary@superenergi.com;,03.138.794.4-012.000,superenergi.com,"Perdagangan Minyak, Gas Bumi dan Bidang Investasi PT Bahtera Abadi Gas (BAG) Perdagangan gas 123.708.512.082 99,99 %","Energi PT Bahtera Abadi Gas (BAG) Perdagangan gas 137.558.499.782 99,99 %","Minyak, Gas & Batu Bara PT Bahtera Abadi Gas (BAG) Perdagangan gas 159.215.882.780 99,99 %","Minyak & Gas PT Bahtera Andalan Gas Perdagangan gas 77.243.393.734 99,99 %","Produksi & Penyulingan Minyak & Gas PT Bahtera Andalan Gas Perdagangan gas 78.446.608.747 99,99 %","PT. Sinartama Gunita PT Bahtera Andalan Gas Perdagangan gas 80.472.346.032 99,99 %","2018-10-05 Nama Jenis Aset Total Persentase PT Bahtera Abadi Gas (BAG) Perdagangan gas 157.270.653.571 99,99 %","Pengembangan PT Bahtera Abadi Gas (BAG) Perdagangan gas 123.708.512.082 99,99 %",True,CSV+JSON,021 29035297
TBIG,PT Tower Bersama Infrastructure Tbk,49.71T,"2,200.00","3,349,700",Telecom Services,Communication Services,6.90T,1.30%,1.30T,3.62T,PT Tower Bersama Infrastructure Tbk,TBIG,"Gedung The Convergence Indonesia, Lt. 11, Kaw. Rasuna Epicentrum, Jl. HR. Rasuna Said, Jkt-Selatan",+62 21 2924 8900,corporate.secretary@tower-bersama.com,0023 8875 3205 4000,https://www.tower-bersama.com,Penyedia Jasa In frastruktur Telekomunikasi Terintegrasi mela lui Perusahaan Anak PT Metric Solusi Integrasi Telekomunikasi 9.533.464 100 %,"Infrastruktur PT Solusi Menara Indonesia Telekomunikasi 4.764.690 70,03 %","Telekomunikasi PT Telenet Internusa Telekomunikasi 259.530 99,50 %",Jasa Telekomunikasi Nirkabel PT Tower Bersama Telekomunikasi 30.539.692 100 %,"Jasa Telekomunikasi Nirkabel PT Tower One Telekomunikasi 413.159 99,90 %",- PT Triaka Bersama Telekomunikasi 110.655 100 %,"2010-10-26 Nama Jenis Aset Total Persentase PT Gihon Telekomunikasi Indonesia Tbk Telekomunikasi 1.350.546 50,43 %",Utama PT Menara Bersama Terpadu Telekomunikasi 10.046 100 %,True,CSV+JSON,+62 21 2157 2015
CAMP,"PT Campina Ice Cream Industry, Tbk.",1.29T,220.00,"1,889,900",Packaged Foods,Consumer Staples,1.17T,4.86%,84.96B,10.00B,PT Campina Ice Cream Industry Tbk.,CAMP,"Jl. Rungkut Industri II/ 15-17 Surabaya, RT.002 RW.006 Kel. Tenggilis Mejoyo Kec. Tenggilis Mejoyo, Surabaya",(031) 843-2247,corsec@campina.co.id,0017 2274 1463 1000,www.campina.co.id,Industri Pengolahan Es Krim,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan,PT. Adimitra Jasa Korpora,2017-12-19 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,(031) 843-9232
BYAN,PT Bayan Resources Tbk.,602.50T,"18,075.0","38,4",Thermal Coal,Energy,56.87T,3.16%,13.75T,15.51T,Bayan Resources Tbk,BYAN,"Gedung Office 8, Lantai 37 Unit A-H Jl. Senopati No. 8B, Senayan, Kebayoran Baru, Jakarta Selatan 12950 - Indonesia",021-2935 6888,corporate.secretary@bayan.com.sg,02.433.110.0-091.000,www.bayan.com.sg,"Pertambangan Batubara(Coal Mining) PT Bara Sejati PERTAMBANGAN BATUBARA 411.370 99,99 %",Energi PT BARA TABANG PERTAMBANGAN BATUBARA 479.422.148 90 %,"Minyak, Gas & Batu Bara PT BAYAN ENERGY PERTAMBANGAN, PENGANGKUTAN DAN KONSTRUKSI 189.462.751 99,99 %",Batu Bara PT BRIAN ANJAT SENTOSA PERTAMBANGAN BATUBARA 3.566.723 100 %,"Produksi Batu Bara PT Cahaya Alam PERTAMBANGAN BATUBARA 14.816 99,99 %",PT. Raya Saham Registra PT DERMAGA ENERGI PERTAMBANGAN BATUBARA 6.032.338 99 %,2008-08-12 Nama Jenis Aset Total Persentase KANGAROO RESOURCES Pty Ltd INVESTASI PADA ANTITAS ANAK 49.957.062 100 %,"Utama PT Apira Utama PERTAMBANGAN BATUBARA 17.630 99,99 %",True,CSV+JSON,021-2935 6999
HRTA,PT Hartadinata Abadi Tbk,5.60T,"1,245.00","79,152,200",Luxury Goods,Consumer Discretionary,30.13T,79.18%,716.02B,220.20B,PT Hartadinata Abadi Tbk,HRTA,"Jl. Kopo Sayati No. 163-165 Kabupaten Bandung, Jawa Barat",+62 22 5402326,corsec@hartadinataabadi.co.id,02.267.114.3-445.000,www.hartadinata.com,Perindustrian dan Perdagangan PT. GEMILANG HARTADINATA ABADI PEGADAIAN 583.001.230.005 99 %,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",-,2017-06-21 Nama Jenis Aset Total Persentase PT. EMAS KARYA ABADI PERDAGANGAN DAN JASA 16.929.382.217 99 %,Utama PT. EMAS MURNI ABADI MANUFAKTUR 27.229.599.926 99 %,True,CSV+JSON,+62 22 5403002
GZCO,PT Gozco Plantations Tbk,1.63T,272.00,"47,666,500",Farm Products,Consumer Staples,969.51B,55.67%,94.49B,383.54B,Gozco Plantations Tbk,GZCO,"Gedung Gozco,Jl. Raya Pasar Minggu 32, Pancoran, Jakarta Selatan 12780",021- 29755555,corporate@gozco.com,0026 2373 0505 4000,www.gozco.com/plantations/home/,"Agriculture Plantation PT Bumi Mas Indo Sawit Perkebunan Kelapa Sawit 109.819 99,50 %","Barang Konsumen Primer PT Bumi Mas Indo Sawit Perkebunan Kelapa Sawit 109.819 99,50 %","Makanan & Minuman PT Bumi Mas Indo Sawit Perkebunan Kelapa Sawit 109.476 99,50 %","Produk Makanan Pertanian PT Bumi Mas Indo Sawit Perkebunan Kelapa Sawit 113.548 99,50 %","Perkebunan & Tanaman Pangan PT Cahya Vidi Abadi Perkebunan Kelapa Sawit 553.950 99,50 %","PT. Adimitra Jasa Korpora PT Cahya Vidi Abadi Perkebunan Kelapa Sawit 558.956 99,50 %","2008-05-15 Nama Jenis Aset Total Persentase PT Bumi Mas Indo Sawit Perkebunan Kelapa Sawit 112.885 99,50 %","Pengembangan PT Bumi Mas Indo Sawit Perkebunan Kelapa Sawit 126.616 99,50 %",True,CSV+JSON,021- 29755556
SINI,PT Singaraja Putra Tbk,2.84T,"5,900.00","94,7",Lumber & Wood Production,Materials,405.22B,4.00%,-50.04B,-121.21B,PT Singaraja Putra Tbk.,SINI,Jl. Galeria Singaraja Blok C 16-17 Lippo Cikarang Kabupaten Bekasi 17550,021-8974309,corsec@singarajaputra.com,02.422.613.6-413.000,www.singarajaputra.com,Penyedia Penginapan dan merupakan Perusahaan Induk dari Perusahaan Anak yang bergerak di Bidang Perusahaan Kayu dan Pertambangan Batubara PT Dwi Daya Swakarya Aktivitas holding dan konsultasi manajemen lainnya 399.535.441.935 75 %,Perindustrian PT Dwi Daya Swakarya Aktivitas holding dan konsultasi manajemen lainnya 406.894.069.197 75 %,Barang Perindustrian PT Dwi Daya Swakarya Aktivitas holding dan konsultasi manajemen lainnya 433.553.746.231 75 %,Produk & Perlengkapan Bangunan PT Interkayu Nusantara Perdagangan dan perindustrian dari kayu. 201.004.034.965 54 %,Produk & Perlengkapan Bangunan PT Interkayu Nusantara Perdagangan dan perindustrian dari kayu. 242.470.033.048 54 %,PT. Adimitra Jasa Korpora PT Interkayu Nusantara Perdagangan dan perindustrian dari kayu. 235.696.979.016 54 %,2019-11-08 Nama Jenis Aset Total Persentase PT Dwi Daya Swakarya Aktivitas holding dan konsultasi manajemen lainnya 372.371.858.081 75 %,Pemantauan Khusus PT Dwi Daya Swakarya Aktivitas holding dan konsultasi manajemen lainnya 384.595.921.955 75 %,True,CSV+JSON,0
PWON,PT Pakuwon Jati Tbk,17.92T,372.00,"26,875,500",Real Estate - Diversified,Real Estate,7.00T,9.12%,2.14T,3.01T,Pakuwon Jati Tbk,PWON,Pakuwon City Mall Lantai 5 Jl. Kejawan Putih Mutiara No.17 Surabaya 60211,(031) 99218800,corpsec@pakuwon.com,01.232.504.9-054.000,www.pakuwonjati.com,Property dan Real Estate PT Centrum Utama Prima (CUP) Pengembang properti 618.001.429 70 %,Properti & Real Estat PT Dwijaya Manunggal (DJM) Pengembang properti 461.253.167 75 %,"Properti & Real Estat PT Elite Prima Hutama (EPH) Pengembang properti 6.101.895.977 99,99 %","Pengelola & Pengembang Real Estat PT Grama Pramesi Siddhi (GPS) Pengembang properti 2.107.072.513 83,73 %","Pengembang & Operator Real Estat PT Pakuwon Nusantara Abadi (PNA) Pengembang properti 25.328.284 99,99 %","PT. Adimitra Jasa Korpora PT Pakuwon Permai (PP) Pengembang properti 8.305.262.696 67,13 %","1989-10-09 Nama Jenis Aset Total Persentase PT Artisan Wahyu (AW) Pengembang properti 2.976.715.721 83,33 %",Utama PT Cemerlang Indo Properti Pengembang properti 202.356.840 90 %,True,CSV+JSON,-
ANTM,PT Aneka Tambang Tbk,71.61T,"2,980.00","115,174,300",Gold,Materials,98.02T,83.73%,7.42T,6.98T,Aneka Tambang Tbk.,ANTM,"Gedung Aneka Tambang, Jl. Letjen T.B. Simatupang No. 1 Jakarta 12530",021-7805119; 021-7891234 ; 021-7812635,corsec@antam.com,0010 0166 3205 1000,http://www.antam.com/,"Metal and Mineral Mining PT Borneo Edo International Pembangunan, perdagangan, perindustrian, pertanian dan pertambangan 183.096 100 %","Barang Baku PT Borneo Edo International Agro Perkebunan, perindustrian, pengangkutan hasil perkebunan, perdagangan dan jasa 22.923 100 %","Barang Baku PT Borneo Edo Sejahtera Jasa, perdagangan, dan perindustrian 13.396 100 %","Logam & Mineral PT Cibaliung Sumberdaya Eksplorasi, konstruksi dan pengembangan tambang, penambangan, produksi, pengolahan dan pemurnian, pengangkutan dan penjualan di industri emas 126.415 100 %",Logam & Mineral Lainnya PT Citra Tobindo Sukses Perkasa Eksplorasi dan operator tambang batubara 9.697 100 %,PT. Datindo Entrycom PT Dwimitra Enggang Khatulistiwa Eksplorasi dan operator tambang 12.720 100 %,"1997-11-27 Nama Jenis Aset Total Persentase Asia Pacific Nickel Pty., Ltd. Perusahaan investasi 3.887.896 100 %","Utama PT Antam Resourcindo Eksplorasi dan operator tambang 183.975 99,99 %",True,CSV+JSON,021-7812822
